208,2,2024-03-18 08:00:25,2024-03-18 08:00:48,https://www.bbb.org/us/in/fort-wayne/profile/heating-and-air-conditioning/sheets-central-air-heating-cooling-plumbing-0352-5516,sheets-central-air-heating-cooling-plumbing-0352-5516,https://www.bbb.org/us/in/fort-wayne/profile/heating-and-air-conditioning/sheets-central-air-heating-cooling-plumbing-0352-5516/details,Sheets Central-Air Heating - Cooling - Plumbing,Heating and Air Conditioning,"1200 Leesburg Road, Fort Wayne, IN 46808-2532",USA,IN,Fort Wayne,1200 Leesburg Road,46808-2532,https://sheetsinc.com/,https://m.bbb.org/prod/ProfileImages/2022/8bd81c43-5456-4d3a-8255-f5d4baa1cf07.png?tx=w_150,2604323205,(260) 432-5326,,5/5,2,A+,1993-12-09,1961-01-01,63,,https://www.facebook.com/Sheets-Air-Conditioning-Heating-Plumbing-Inc-146956798682266/,,,"[{""name"": ""Mr. Brian Hanley, Owner"", ""position"": ""Customer Contact""}]",
209,2,2024-03-18 08:00:26,2024-03-18 08:02:28,https://www.bbb.org/us/ct/oakville/profile/cellar-doors/connecticut-cellar-doors-llc-0111-17003804,connecticut-cellar-doors-llc-0111-17003804,https://www.bbb.org/us/ct/oakville/profile/cellar-doors/connecticut-cellar-doors-llc-0111-17003804/details,Connecticut Cellar Doors LLC,Cellar Doors,"1886 Watertown Ave 3rd Floor, Oakville, CT 06779-1755",USA,CT,Oakville,1886 Watertown Ave 3rd Floor,06779-1755,http://www.ctcellardoors.com,,2035919507,(203) 591-9505,"{""F"": ""8:00 AM - 5:00 PM"", ""M"": ""8:00 AM - 5:00 PM"", ""T"": ""8:00 AM - 5:00 PM"", ""W"": ""8:00 AM - 5:00 PM"", ""Sa"": ""Closed"", ""Su"": ""Closed"", ""Th"": ""8:00 AM - 5:00 PM""}",,,A+,2008-06-26,2002-01-01,22,,,,"[{""name"": ""Mr. Claude Raffin"", ""position"": ""Owner""}]","[{""name"": ""Mr. Claude Raffin, Owner"", ""position"": ""Principal""}]",
210,2,2024-03-18 08:00:27,2024-03-18 08:01:03,https://www.bbb.org/us/ct/oakdale/profile/tree-service/tomorrows-trees-llc-0111-64004248,tomorrows-trees-llc-0111-64004248,https://www.bbb.org/us/ct/oakdale/profile/tree-service/tomorrows-trees-llc-0111-64004248/details,"Tomorrow's Trees, LLC",Tree Service,"467 Chesterfield Rd, Oakdale, CT 06370-1656",USA,CT,Oakdale,467 Chesterfield Rd,06370-1656,http://www.tomorrowstrees.com,https://m.bbb.org/prod/ProfileImages/6f7902c2-e5d3-4765-b1c9-8d4a62c73f38.jpeg?tx=w_150,8608488746,,,5/5,1,A+,2013-04-22,2002-10-01,21,,http://www.facebook.com/tomorrowstrees,,"[{""name"": ""Mr. Richard Cullen"", ""position"": ""President-CEO""}, {""name"": ""Ms. Elyssa Cullen"", ""position"": ""CFO""}]","[{""name"": ""Mr. Richard Cullen, President-CEO"", ""position"": ""Principal""}, {""name"": ""Mr. Richard Cullen, President-CEO"", ""position"": ""Customer Contact""}]",
211,2,2024-03-18 08:00:28,2024-03-18 08:01:22,https://www.bbb.org/us/ct/norwich/profile/roofing-contractors/strong-roofing-llc-0111-87110730,strong-roofing-llc-0111-87110730,https://www.bbb.org/us/ct/norwich/profile/roofing-contractors/strong-roofing-llc-0111-87110730/details,Strong Roofing LLC,Roofing Contractors,"21 Hickory St, Norwich, CT 06360-3709",USA,CT,Norwich,21 Hickory St,06360-3709,http://www.strongroofingllc.com/,https://m.bbb.org/prod/ProfileImages/2f78d86f-980d-45db-8987-3a3d2a4149e5.png?tx=w_150,8603671902,,,,,A+,2015-08-03,2012-03-27,11,,https://www.facebook.com/pages/Strong-Roofing-LLC/114111812058016,,"[{""name"": ""Mr. Juan Salcedo"", ""position"": ""Owner""}]","[{""name"": ""Mr. Juan Salcedo, Owner"", ""position"": ""Principal""}, {""name"": ""Mr. Juan Salcedo, Owner"", ""position"": ""Customer Contact""}]",
212,2,2024-03-18 08:00:30,2024-03-18 08:02:05,https://www.bbb.org/us/ct/norwich/profile/portrait-photographers/donner-photographic-inc-0111-4000158,donner-photographic-inc-0111-4000158,https://www.bbb.org/us/ct/norwich/profile/portrait-photographers/donner-photographic-inc-0111-4000158/details,"Donner Photographic, Inc.",Portrait Photographers,"187 W Town St, Norwich, CT 06360-2109",USA,CT,Norwich,187 W Town St,06360-2109,http://www.donner-photo.com,https://m.bbb.org/prod/ProfileImages/3fb59227-be60-40ef-8fc3-e9334b4caff2.png?tx=w_150,8608862475,(860) 886-1015,,,,A+,1996-08-27,1972-01-01,52,,https://www.facebook.com/donnerphotoinc/,,"[{""name"": ""Mr. Frank Donner"", ""position"": ""President""}]","[{""name"": ""Mr. Frank Donner, President"", ""position"": ""Principal""}]",
213,2,2024-03-18 08:00:30,2024-03-18 08:01:23,https://www.bbb.org/us/ny/brooklyn/profile/lawyers/mary-grace-condello-0121-147800,mary-grace-condello-0121-147800,https://www.bbb.org/us/ny/brooklyn/profile/lawyers/mary-grace-condello-0121-147800/details,Mary Grace Condello,Lawyers,"1716 86th Street, Brooklyn, NY 11214-2818",USA,NY,Brooklyn,1716 86th Street,11214-2818,,,7187585480,(718) 758-5479,,,,A+,2014-06-24,1993-01-01,31,,,,"[{""name"": ""Ms. Mary Grace Condello"", ""position"": ""Attorney""}]","[{""name"": ""Ms. Mary Grace Condello, Attorney"", ""position"": ""Principal""}, {""name"": ""Ms. Mary Grace Condello, Attorney"", ""position"": ""Customer Contact""}]",
214,2,2024-03-18 08:00:32,2024-03-18 08:01:31,https://www.bbb.org/us/nj/west-new-york/profile/jewelry-stores/gold-and-silver-concepts-llc-0221-90017937,gold-and-silver-concepts-llc-0221-90017937,https://www.bbb.org/us/nj/west-new-york/profile/jewelry-stores/gold-and-silver-concepts-llc-0221-90017937/details,"Gold and Silver Concepts, LLC",Jewelry Stores,"5600 Kennedy Blvd Ste 109B, West New York, NJ 07093",USA,NJ,West New York,5600 Kennedy Blvd Ste 109B,07093,,,2018685404,,"{""F"": ""By Appt. Only"", ""M"": ""By Appt. Only"", ""T"": ""By Appt. Only"", ""W"": ""By Appt. Only"", ""Sa"": ""By Appt. Only"", ""Su"": ""By Appt. Only"", ""Th"": ""By Appt. Only""}",,,A+,2008-05-27,1995-01-01,29,,,,"[{""name"": ""Mr. Luis F. Brizuela"", ""position"": ""Manager""}]","[{""name"": ""Mr. Luis F. Brizuela, Manager"", ""position"": ""Principal""}, {""name"": ""Mr. Luis F. Brizuela, Manager"", ""position"": ""Customer Contact""}]",
215,2,2024-03-18 08:00:33,2024-03-18 08:01:30,https://www.bbb.org/us/nv/battle-mtn/profile/mining-consultants/small-mine-development-llc-1166-90022234,small-mine-development-llc-1166-90022234,https://www.bbb.org/us/nv/battle-mtn/profile/mining-consultants/small-mine-development-llc-1166-90022234/details,"Small Mine Development, LLC",General Contractor,"2550 Industrial Way, Battle Mtn, NV 89820-1730",USA,NV,Battle Mtn,2550 Industrial Way,89820-1730,http://www.undergroundmining.com,https://m.bbb.org/prod/ProfileImages/89ea8963-83be-4c07-9ea5-335d9764a595.jpeg?tx=w_150,7756358356,(775) 635-9182,,,,A+,2013-10-09,1982-07-01,41,,http://www.facebook.com/pages/Small-Mine-Development/163026900393648,,"[{""name"": ""Ms. Cheryl L. Gmirkin"", ""position"": ""Managing Member""}, {""name"": ""Mr. Keith A. Jones"", ""position"": ""Managing Member""}, {""name"": ""Mr. Paul Price"", ""position"": ""Managing Member""}]","[{""name"": ""Ms. Cheryl L. Gmirkin, Managing Member"", ""position"": ""Principal""}, {""name"": ""Ms. Cheryl L. Gmirkin, Managing Member"", ""position"": ""Customer Contact""}]",
216,2,2024-03-18 08:00:35,2024-03-18 08:01:24,https://www.bbb.org/us/nm/zia-pueblo/profile/building-contractors/ocw-fab-0806-99146352,ocw-fab-0806-99146352,https://www.bbb.org/us/nm/zia-pueblo/profile/building-contractors/ocw-fab-0806-99146352/details,OCW & FAB,Building Contractors,"53 Knotts Lndg, Zia Pueblo, NM 87053-6011",USA,NM,Zia Pueblo,53 Knotts Lndg,87053-6011,,https://m.bbb.org/prod/ProfileImages/4d62e084-1f65-4cf0-89c9-c28a89658cb4.png?tx=w_150,5055737609,,,5/5,1,A+,2017-10-12,2014-11-13,9,,,,"[{""name"": ""Mr. Otis Negale"", ""position"": ""Owner""}, {""name"": ""Ms. Carrie Pino"", ""position"": ""Office Manager""}]","[{""name"": ""Mr. Otis Negale, Owner"", ""position"": ""Principal""}, {""name"": ""Ms. Carrie Pino, Office Manager"", ""position"": ""Customer Contact""}]",
217,2,2024-03-18 08:00:35,2024-03-18 08:01:34,https://www.bbb.org/us/mn/big-lake/profile/general-contractor/ken-geroux-construction-corporation-0704-96004955,ken-geroux-construction-corporation-0704-96004955,https://www.bbb.org/us/mn/big-lake/profile/general-contractor/ken-geroux-construction-corporation-0704-96004955/details,Ken Geroux Construction Corporation,General Contractor,"17211 198th Ave, Big Lake, MN 55309",USA,MN,Big Lake,17211 198th Ave,55309,,https://m.bbb.org/prod/ProfileImages/223cf820-8ef1-4e2e-af57-a23fe5d9f53f.png?tx=w_150,7632636878,(763) 263-5686,,,,A+,2019-07-12,1996-12-31,27,,,,"[{""name"": ""Kenneth Leland Geroux"", ""position"": ""President""}, {""name"": ""Tyler Wellnitz"", ""position"": ""Office Manager""}]","[{""name"": ""Kenneth Leland Geroux, President"", ""position"": ""Principal""}, {""name"": ""Kenneth Leland Geroux, President"", ""position"": ""Customer Contact""}]",
